repo;Sample
twbs/bootstrap;Top10
d3/d3;Top10
facebook/react;Top10
angular/angular.js;Top10
jquery/jquery;Top10
facebook/react-native;Top10
meteor/meteor;Top10
h5bp/html5-boilerplate;Top10
vuejs/vue;Top10
hakimel/reveal.js;Top10
pallets/flask;Top10
nvbn/thefuck;Top10
django/django;Top10
kennethreitz/requests;Top10
rg3/youtube-dl;Top10
ansible/ansible;Top10
scrapy/scrapy;Top10
certbot/certbot;Top10
scikit-learn/scikit-learn;Top10
tornadoweb/tornado;Top10
elastic/elasticsearch;Top10
ReactiveX/RxJava;Top10
square/retrofit;Top10
square/okhttp;Top10
nostra13/Android-Universal-Image-Loader;Top10
google/guava;Top10
PhilJay/MPAndroidChart;Top10
bumptech/glide;Top10
zxing/zxing;Top10
spring-projects/spring-framework;Top10
rails/rails;Top10
Homebrew/legacy-homebrew;Top10
jekyll/jekyll;Top10
discourse/discourse;Top10
gitlabhq/gitlabhq;Top10
plataformatec/devise;Top10
cantino/huginn;Top10
mitchellh/vagrant;Top10
fastlane/fastlane;Top10
twbs/bootstrap-sass;Top10
laravel/laravel;Top10
bcit-ci/CodeIgniter;Top10
fzaninotto/Faker;Top10
yiisoft/yii2;Top10
composer/composer;Top10
WordPress/WordPress;Top10
guzzle/guzzle;Top10
phacility/phabricator;Top10
roots/sage;Top10
phalcon/cphalcon;Top10
torvalds/linux;Top10
antirez/redis;Top10
firehol/netdata;Top10
git/git;Top10
kripken/emscripten;Top10
ggreer/the_silver_searcher;Top10
php/php-src;Top10
wg/wrk;Top10
Bilibili/ijkplayer;Top10
irungentoo/toxcore;Top10
electron/electron;Top10
tensorflow/tensorflow;Top10
apple/swift;Top10
nwjs/nw.js;Top10
rethinkdb/rethinkdb;Top10
BVLC/caffe;Top10
facebook/hhvm;Top10
google/protobuf;Top10
opencv/opencv;Top10
bitcoin/bitcoin;Top10
AFNetworking/AFNetworking;Top10
rs/SDWebImage;Top10
BradLarson/GPUImage;Top10
Mantle/Mantle;Top10
magicalpanda/MagicalRecord;Top10
facebook/AsyncDisplayKit;Top10
RestKit/RestKit;Top10
jessesquires/JSQMessagesViewController;Top10
realm/realm-cocoa;Top10
CocoaLumberjack/CocoaLumberjack;Top10
dotnet/corefx;Top10
dotnet/coreclr;Top10
dotnet/roslyn;Top10
SignalR/SignalR;Top10
PowerShell/PowerShell;Top10
StackExchange/dapper-dot-net;Top10
mono/mono;Top10
NancyFx/Nancy;Top10
ShareX/ShareX;Top10
Wox-launcher/Wox;Top10
robbyrussell/oh-my-zsh;Top10
creationix/nvm;Top10
dokku/dokku;Top10
tj/git-extras;Top10
sorin-ionescu/prezto;Top10
fish-shell/fish-shell;Top10
yyuu/pyenv;Top10
Bash-it/bash-it;Top10
snowdream/awesome-android;Top10
dnschneid/crouton;Top10
ipython/ipython;Science
sympy/sympy;Science
astropy/astropy;Science
simbody/simbody;Science
dib-lab/khmer;Science
cms-sw/cmssw;Science
ComputationalRadiationPhysics/picongpu;Science
iPlantCollaborativeOpenSource/atmosphere;Science
yhat/rodeo;Science
pysb/pysb ;Science
SynBioDex/libSBOLj;Science
cryos/avogadro (also came up in bioinformatics search);Science
psi4/psi4;Science
deepchem/deepchem;Science
cdk/cdk;Science
sunqm/pyscf;Science
biocaml/biocaml ;Science
chapmanb/bcbb;Science
biocore/scikit-bio;Science
ewels/MultiQC;Science
tidyverse/ggplot2;Science
rstudio/shiny;Science
hadley/dplyr;Science
hadley/devtools;Science
yihui/knitr;Science
ropensci/plotly;Science
rstudio/rmarkdown;Science
rich-iannone/DiagrammeR;Science
rstudio/ggvis;Science
mlr-org/mlr;Science
xianyi/OpenBLAS;Science
pymc-devs/pymc;Science
ElmerCSC/elmerfem;Science
UV-CDAT/uvcdat;Science
clawpack/pyclaw;Science
firemodels/fds;Science
FluidityProject/fluidity;Science
OpenCMISS/cm;Science
Reference-LAPACK/lapack;Science
geodynamics/specfem3d;Science
